parameter,frames,block_size,blocks,discarded_frames,block_mean_sd,block_sem
rmsd_A,21,2,10,1,0.22917060602674744,0.07247010878056323
rmsd_A,21,3,7,0,0.22605075049409115,0.08543915278383947
rmsd_A,21,4,5,1,0.2194410513099132,0.09813702155659704
rmsd_A,21,5,4,1,0.22282653941276087,0.11141326970638044
rmsd_A,21,6,3,3,0.21332682281732246,0.12316429857894873
rmsd_A,21,7,3,0,0.21327380121738884,0.1231336865439542
rmsd_A,21,8,2,5,0.2359968882210104,0.1668750000000001
rmsd_A,21,9,2,3,0.2451303508113365,0.17333333333333334
rmsd_A,21,10,2,1,0.24395183950935873,0.17249999999999988
rg_A,21,2,10,1,0.16826648837814298,0.05321053571531838
rg_A,21,3,7,0,0.16363593607982113,0.06184857034578118
rg_A,21,4,5,1,0.1615007739919529,0.07222534181296734
rg_A,21,5,4,1,0.15332210103786706,0.07666105051893353
rg_A,21,6,3,3,0.14480830240163667,0.08360511237247767
rg_A,21,7,3,0,0.13014121059017875,0.07513706296690348
rg_A,21,8,2,5,0.15644737533752706,0.11062500000000242
rg_A,21,9,2,3,0.13356461422413143,0.09444444444444854
rg_A,21,10,2,1,0.11808683245815456,0.08350000000000078
hbonds,21,2,10,1,22.379305917148844,7.076957915187381
hbonds,21,3,7,0,22.050207260060848,8.334194966793135
hbonds,21,4,5,1,22.494443758403985,10.059821071967432
hbonds,21,5,4,1,21.63608097599932,10.81804048799966
hbonds,21,6,3,3,20.788841380075187,12.002443166926842
hbonds,21,7,3,0,19.102480517062737,11.028822268715754
hbonds,21,8,2,5,22.09708691207961,15.625
hbonds,21,9,2,3,20.977501175200924,14.833333333333343
hbonds,21,10,2,1,18.95046173579944,13.399999999999975
