time_ns,rmsd_A,rg_A,hbonds,rmsf_A,rmsd_rolling_std,rg_rolling_std,hbonds_rolling_std,rmsf_rolling_std,rmsd_stable,rg_stable,hbonds_stable,all_stable
0,1.82,32.1,420,1.2,,,,,False,False,False,False
10,2.15,32.25,435,1.35,,,,,False,False,False,False
20,2.31,32.4,450,1.42,,,,,False,False,False,False
30,2.45,32.55,465,1.55,,,,,False,False,False,False
40,2.38,32.6,478,1.48,0.2507389080298469,0.20796634343085257,23.09328906847181,0.13397761006974274,False,False,False,False
50,2.51,32.7,490,1.6,0.1392838827718414,0.1767766952966349,21.84719661649978,0.0997496867163002,False,False,False,False
60,2.42,32.65,485,1.52,0.07503332592921676,0.11510864433221024,16.19567843592849,0.06841052550594862,False,False,False,False
70,2.36,32.58,475,1.45,0.0594138031100525,0.059413803110045564,9.607288899580304,0.05873670062235403,False,False,True,False
80,2.48,32.72,488,1.5,0.06403124237432915,0.060827625302975113,6.457553716385088,0.056568542494924184,False,False,True,False
90,2.55,32.71,495,1.58,0.07503332592921683,0.05805170109479462,7.436396977031204,0.060827625302982545,False,False,True,False
100,2.61,32.69,492,1.51,0.09964938534682528,0.05700877125495076,7.713624310270681,0.04658325879540888,False,False,True,False
110,2.67,32.68,493,1.5,0.12012493496356233,0.055946402922791565,8.018728078691709,0.04658325879540888,False,False,True,False
120,2.69,32.7,494,1.49,0.08660254037844448,0.015811388300826283,2.7018512172210247,0.036469165057621454,False,True,True,False
130,2.68,32.69,495,1.51,0.059160797830997404,0.011401754250967304,1.303840481040054,0.03563705936241145,False,True,True,False
140,2.7,32.71,496,1.5,0.035355339059329666,0.011401754250967304,1.5811388300837987,0.008366600265342816,False,True,True,False
150,2.69,32.7,495,1.52,0.011401754250998323,0.011401754250968316,1.1401754250985945,0.011401754250992897,True,True,True,True
160,2.71,32.69,496,1.5,0.011401754250998323,0.0083666002653099,0.8366600265333299,0.011401754250992897,True,True,True,True
170,2.7,32.68,497,1.49,0.011401754250998366,0.011401754250966055,0.8366600265333299,0.011401754250992897,True,True,True,True
180,2.72,32.7,495,1.5,0.011401754250998717,0.011401754250967067,0.8366600265333299,0.010954451150104894,True,True,True,True
190,2.71,32.69,496,1.51,0.011401754250998805,0.008366600265305493,0.8366600265333299,0.011401754250992897,True,True,True,True
200,2.73,32.71,497,1.5,0.011401754250999156,0.011401754250966326,0.8366600265333299,0.00707106781186791,True,True,True,True
