time_ns,rmsd_A,rmsf_A,rg_A,hbonds
0,1.82,1.20,32.10,420
2,1.95,1.24,32.18,425
4,2.08,1.28,32.25,432
6,2.18,1.31,32.32,438
8,2.27,1.35,32.38,445
10,2.35,1.38,32.42,450
20,2.48,1.42,32.50,458
30,2.55,1.45,32.55,465
40,2.61,1.47,32.60,470
50,2.64,1.49,32.62,474
60,2.66,1.50,32.64,478
70,2.65,1.51,32.63,480
80,2.67,1.50,32.65,482
90,2.66,1.49,32.64,484
100,2.68,1.50,32.66,486
110,2.67,1.51,32.65,487
120,2.69,1.50,32.67,489
130,2.68,1.49,32.66,490
140,2.70,1.50,32.68,491
150,2.69,1.51,32.67,492
160,2.71,1.50,32.69,493
170,2.70,1.49,32.68,494
180,2.72,1.50,32.70,495
190,2.71,1.51,32.69,496
200,2.73,1.50,32.71,497
